,GeoFIPS,GeoName,TableName,ComponentName,Unit,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
14," ""19820"" ","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,188353.4,193789.4,201747.6,204645.4,212197,208880.8,211832.4,200919.3,185535.3,196966.4,206172.2,215613.6,220276.9,229348.3,242296.1,250430,260611.8
15," ""42660"" ","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,166674.3,171417.3,176485.1,182721.4,199157.1,215017.6,236507.3,242244.8,237726.3,242488.2,250147.4,267471.9,280291,296027.6,317153.1,334411,356572
16," ""33460"" ","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,147410.3,151768,160840.1,171518.6,182350.8,186217.9,193820.5,195341.4,191508.6,197982.1,207711.9,213855.2,220938.1,232415.6,242052.7,250375.6,260106
17," ""41740"" ","San Diego-Carlsbad, CA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,120432.6,127767,138141.7,154772.2,167617.1,172753.7,177879.6,179112.9,172502.2,175025.7,183311.4,189073.7,198311.6,204914.7,211806.6,222962.7,231845.1
18," ""45300"" ","Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,77813.4,83044,88232.2,95729.6,103909.2,111159.7,115472,113467.9,111176.4,111134.1,112547.4,117710.9,125706.3,127963.4,135569.4,141568.9,146349.4
19," ""19740"" ","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,109730.1,112862.8,116931,122147.4,133706.8,140106.6,145535.7,154163.8,149280.3,154621.5,159961.3,167491.2,173016.1,186345.1,192499.2,197068.3,208868
20," ""12580"" ","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,101788.6,106800.9,111399,119403.1,129031.9,135888.1,141877.2,144779.4,147570.5,152625.9,158153.8,162776.1,167270.1,173073.2,178894.9,186855.5,192177.7
21," ""41180"" ","St. Louis, MO-IL (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,103652.1,105960.6,110819.8,115836.7,120888.3,123930.7,128487.2,133243.7,132568,135769.7,137450.1,142184.1,146335.6,150667.4,155377.4,157715.8,161281.2
22," ""16740"" ","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,81150.1,86696.6,90295.3,95465.2,106755.8,117692.1,117393.6,126620.9,117224.6,117071,125326.2,131934,136399,143367.1,155592.4,165366.7,174029.1
23," ""36740"" ","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,65934.6,68985.2,75226.8,81800.8,89187.4,95772.7,102481.7,103408.4,99135.6,99474,100674.2,103535.4,115249,115309.3,123054.4,127999.5,132448.1
24," ""41700"" ","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,54384.3,56003.7,60176.2,64547.1,68957.3,75953.5,79418.1,83690.3,79363.4,82756.7,87543.7,93330.5,101348.2,110313.2,115019.6,119543.9,129298.3
25," ""38900"" ","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,78988.6,81168.9,85669.1,96829,101363.9,113657.4,120045.3,129279.8,131012,141492.5,148812.1,144550.6,143129.9,148029.2,156869.3,164503.5,171771.6
26," ""38300"" ","Pittsburgh, PA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,86007.7,87537.5,91850.3,94493,96960.6,101775.8,104818.7,106709.2,108287.5,113940.3,119653.4,122438.5,126823.6,133690.8,136683.9,137944.3,147367.5
27," ""40900"" ","Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,70617.1,75879.6,82843.8,88430.9,94471.3,97965.5,99460.9,98548.3,95084.9,94312.3,97496.4,100242.1,104463.4,109222.5,116188.9,121202.4,126352.4
28," ""29820"" ","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,55534.9,59249.8,63640,74178.8,84929.6,90920.7,95773.9,94010,84960.2,83410.4,84875.2,87098.4,90426.4,93742.4,103733.8,107452.1,112288.3
29," ""17140"" ","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,79135.9,82616.6,85024.4,89658.3,95332.3,98234.1,101308.3,102007.5,101954.8,107066.4,111659.3,115419.9,120413.2,123355.7,127587.5,132587.6,138033.6
30," ""28140"" ","Kansas City, MO-KS (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,77521.4,80379.4,83331.7,83113.6,89675.9,94827.9,100240,102896.4,102839.5,103464.2,105048.3,112028,115710.9,120757.8,125765.1,127484.6,131092.4
31," ""12420"" ","Austin-Round Rock, TX (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,55707.3,56343.1,59418.6,63816.2,69929.7,77643.9,81395.8,84545.1,82326.6,88718.1,96399.4,103513,111720.1,119571.7,127804.4,135936.4,148750
32," ""18140"" ","Columbus, OH (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,71811.2,74932.6,78328.5,83693.2,87528.7,90731.4,93507.2,94090.9,91882.3,95188.3,101427.6,109267.9,113236.1,118390.5,126020.8,131382.2,136296.3
33," ""17460"" ","Cleveland-Elyria, OH (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,86489.4,89270.3,93245,97959.9,101812,104511.7,109142.8,108822.3,103325.3,105545.2,109886.3,114671.2,118335.2,123856.2,128887.2,131727,138980
34," ""26900"" ","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,77481.1,78010,82150.3,88792.7,92202.1,97983.9,102415.4,106718.1,106343.3,110580,113043.9,116257.2,123565,127666.5,130824.6,137940,143873.5
35," ""41940"" ","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,128313,119950.4,122367.8,124466.1,132500.3,143205.9,155945.9,156606.7,149924.6,161333.6,172628.4,180995.6,193715.6,210690.2,237831.8,253899.8,275293.5
