GeoName,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",0.028456697,0.029564111,0.035336128,0.089949508,0.079638135,0.099943912,0.024259293,-0.018652619,0.020031019,0.031585867,0.069257166,0.047926904,0.056143793,0.071363278,0.054415044,0.066268753
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",0.029561706,0.059776106,0.066392025,0.063154667,0.021206926,0.040826365,0.007846951,-0.019621033,0.03380266,0.049144847,0.029576062,0.033120074,0.05194894,0.041464945,0.034384661,0.038863212
"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",0.060900454,0.081200153,0.120387255,0.082992294,0.030644845,0.029671723,0.006933341,-0.036908006,0.014628799,0.047339905,0.031434488,0.048858725,0.03329659,0.033633019,0.052671163,0.039838054
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",0.067219785,0.062475314,0.084973513,0.085444836,0.069777267,0.038793735,-0.017355723,-0.020195139,-0.000380476,0.012717069,0.045878448,0.067924041,0.017955345,0.059438871,0.044254087,0.03376801
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",0.02854914,0.036045535,0.044610924,0.094634843,0.047864432,0.038749781,0.05928511,-0.031677346,0.035779671,0.034534654,0.047073261,0.032986211,0.077039073,0.033025285,0.023735683,0.059876195
"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",0.049242253,0.043053008,0.071850735,0.080641122,0.053135697,0.044073764,0.020455718,0.019278295,0.034257524,0.036218623,0.029226614,0.027608476,0.034692991,0.033637212,0.044498753,0.028482972
"St. Louis, MO-IL (Metropolitan Statistical Area)",0.022271618,0.045858555,0.045270791,0.043609668,0.025167034,0.036766515,0.037019252,-0.005071159,0.024151379,0.012376841,0.03444159,0.029198061,0.029601819,0.03126091,0.015049808,0.022606486
"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",0.068348653,0.041509125,0.057255472,0.118269275,0.102442209,-0.002536279,0.078601389,-0.074208128,-0.001310305,0.070514474,0.052724809,0.033842679,0.051086152,0.085272702,0.062819906,0.052382977
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",0.046267059,0.090477378,0.087389069,0.09029985,0.073836663,0.070051278,0.00904259,-0.041319661,0.003413506,0.012065464,0.02842039,0.113136183,0.000523215,0.067168043,0.040186292,0.034754823
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",0.029776976,0.074504006,0.072635028,0.0683253,0.101456989,0.045614751,0.053793783,-0.051701332,0.042756485,0.057844259,0.066101844,0.085906536,0.088457417,0.042663979,0.039335035,0.081596803
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",0.027602717,0.055442417,0.130267506,0.04683411,0.12128085,0.056203116,0.076925127,0.013398845,0.079996489,0.051731364,-0.028636784,-0.009828392,0.034229745,0.059718623,0.048665991,0.044182039
"Pittsburgh, PA (Metropolitan Statistical Area)",0.01778678,0.049268028,0.028771817,0.026114104,0.049661409,0.02989807,0.018035904,0.014790665,0.052201778,0.05014117,0.023276397,0.035814715,0.054147651,0.022388227,0.009221276,0.06831163
"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",0.07452161,0.091779609,0.067441378,0.06830644,0.036986894,0.015264557,-0.009175465,-0.035144188,-0.00812537,0.033761238,0.028162065,0.042111049,0.045557583,0.06378173,0.043149561,0.042490908
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",0.066893071,0.074096453,0.165600251,0.144930897,0.070541955,0.053378384,-0.018417335,-0.096264227,-0.018241482,0.017561359,0.026193753,0.038209657,0.036670707,0.106583574,0.035844633,0.045007962
"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",0.04398383,0.029144264,0.054500826,0.063284715,0.030438791,0.031294632,0.006901705,-0.000516629,0.050135943,0.042897678,0.033679237,0.043262037,0.02443669,0.034305671,0.039189576,0.041074731
"Kansas City, MO-KS (Metropolitan Statistical Area)",0.036867239,0.03672956,-0.002617251,0.078955791,0.057451333,0.057072866,0.026500399,-0.000552983,0.006074514,0.01531061,0.06644277,0.032874817,0.043616461,0.041465644,0.013672314,0.028299889
"Austin-Round Rock, TX (Metropolitan Statistical Area)",0.011413226,0.054585211,0.074010495,0.095798559,0.110313644,0.04832189,0.038691186,-0.026240433,0.077635904,0.08658098,0.07379299,0.079285694,0.070279207,0.068851576,0.063628482,0.094261728
"Columbus, OH (Metropolitan Statistical Area)",0.043466757,0.045319394,0.068489758,0.045828096,0.036590284,0.030593598,0.0062423,-0.023473046,0.035980815,0.065546921,0.077299473,0.036316247,0.045519053,0.064450273,0.042543771,0.037403088
"Cleveland-Elyria, OH (Metropolitan Statistical Area)",0.032153073,0.044524327,0.050564642,0.039323233,0.026516521,0.044311785,-0.00293652,-0.050513544,0.021484573,0.041130246,0.0435441,0.031952225,0.046655602,0.040619686,0.02203322,0.055060846
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",0.006826181,0.053073965,0.080856674,0.038397301,0.062707899,0.045226818,0.042012236,-0.003512057,0.039839839,0.022281606,0.02842524,0.062858903,0.033193056,0.024737108,0.054388853,0.043015079
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",-0.065173443,0.02015333,0.017147485,0.064549303,0.080796798,0.088962815,0.004237367,-0.042668034,0.076098252,0.070008975,0.048469429,0.070277952,0.087626397,0.128822318,0.067560351,0.084260405
